axis,max_fpr_gap,max_fnr_gap,equalised_odds_violation
sex,0.09091470344750169,0.22896596017983306,0.31988066362733475
race_ethnicity,0.6800169527442255,0.6255060728744939,1.3055230256187194
ses_proxy,0.21980430355087224,0.16885200167387365,0.3886563052247459
region,0.3081593006313744,0.37164991624790616,0.6798092168792806
device_gen,0.166646868410893,0.12521950267739068,0.29186637108828367
has_depression,0.31468804159445407,0.1859400998336106,0.5006281414280647
has_anxiety,0.33136593591905567,0.28408345630431214,0.6154493922233678
age_band,0.33690349558009025,0.4176909569798069,0.7545944525598971
