axis,max_fpr_gap,max_fnr_gap,equalised_odds_violation
sex,0.1332820082120194,0.011016055314660711,0.14429806352668012
race_ethnicity,0.5748249900937789,0.42424242424242425,0.999067414336203
ses_proxy,0.17383351997013807,0.17039777983348753,0.3442312998036256
region,0.06899023235656898,0.08361107918630045,0.15260131154286943
device_gen,0.0305987718834963,0.01468617845329312,0.04528495033678942
has_depression,0.26929702511097864,0.1923076923076923,0.46160471741867093
has_anxiety,0.007475538160469641,0.12621865852106404,0.13369419668153368
age_band,0.1955229604064807,0.26956521739130435,0.46508817779778505
