axis,max_fpr_gap,max_fnr_gap,equalised_odds_violation
sex,0.025327552431699152,0.04298708920187788,0.06831464163357703
race_ethnicity,0.28792195458862124,0.5135989879822898,0.801520942570911
ses_proxy,0.05584230017787886,0.19365971107544144,0.2495020112533203
region,0.15302144249512672,0.1688311688311689,0.3218526113262956
device_gen,0.10257014528113564,0.02865286528652866,0.1312230105676643
has_depression,0.022467882812352624,0.2958937198067634,0.318361602619116
has_anxiety,0.033070125869509776,0.10178183398522378,0.13485195985473356
age_band,0.060146186806043805,0.18829221093372028,0.2484383977397641
